,Lon,Lat,City nbr,City,wind,temp,humidity,clouds
392,123.46894157937652,62.740185972944914,392.0,kysyl-syr,4.05,-13.53,62.0,48.0
394,107.3087963113095,50.87334941123348,394.0,bichura,2.15,11.85,67.0,88.0
396,-66.09834146590184,4.911227101234161,396.0,puerto ayacucho,4.7,95.0,41.0,40.0
398,-2.016374148713709,55.825065951066534,398.0,eyemouth,2.24,41.0,100.0,64.0
399,122.01038950287932,66.92599391130369,399.0,zhigansk,2.37,-12.9,81.0,64.0
400,-88.58937749979202,24.519285058811178,400.0,panaba,7.96,82.32,59.0,36.0
403,48.18482841363772,-0.5681220643468805,403.0,mogadishu,19.6,80.7,100.0,36.0
404,12.585634416236786,17.576422362596574,404.0,bilma,3.71,63.11,22.0,0.0
408,110.69990056762913,74.93877900475039,408.0,saskylakh,4.61,-27.17,42.0,24.0
409,-108.84600225719456,30.09295268245056,409.0,nacozari,6.62,82.95,28.0,0.0
413,-43.450714570359,-4.030766835139147,413.0,chapadinha,7.18,76.92,86.0,56.0
414,166.88326495864322,33.81068663186139,414.0,severo-kurilsk,16.8,26.97,100.0,80.0
419,18.175897127482557,-4.318130474024656,419.0,bulungu,3.04,74.0,79.0,64.0
421,133.39015506498572,18.899939959661737,421.0,nishihara,3.36,42.8,60.0,90.0
428,161.67493042445165,-23.558148231728524,428.0,koumac,5.84,80.3,77.0,44.0
430,-0.1279115815037244,36.704651506040264,430.0,sidi ali,6.4,57.44,95.0,64.0
433,145.40329587937936,67.88331523245913,433.0,belaya gora,2.48,-27.89,44.0,36.0
435,-80.16353219366565,11.863321301607073,435.0,san andres,25.75,75.62,100.0,100.0
438,-68.31427143477511,64.07653260731553,438.0,iqaluit,4.7,14.0,85.0,90.0
439,85.85592854846362,68.4586340916623,439.0,dudinka,9.98,-17.85,78.0,56.0
442,168.4880982396371,68.26716958772255,442.0,bilibino,3.15,-18.53,51.0,12.0
445,-53.6605130775834,46.677670005853344,445.0,bay roberts,2.24,32.09,100.0,90.0
446,151.26103020358158,24.338090512818425,446.0,katsuura,6.93,37.4,74.0,20.0
447,37.59044076021635,47.4864880374536,447.0,volnovakha,2.15,29.18,95.0,88.0
451,-128.823335217375,41.35764281032195,451.0,eureka,9.17,56.44,93.0,75.0
452,17.253142847288387,66.33847460123633,452.0,straumen,5.82,28.4,92.0,75.0
461,34.11378460422682,22.4999829007146,461.0,aswan,8.05,71.6,19.0,0.0
465,-87.70763831870886,-41.959531305892405,465.0,ancud,11.54,55.1,98.0,92.0
466,91.31991910963308,-29.30771774235466,466.0,carnarvon,5.39,52.62,52.0,0.0
467,26.040427034853394,82.2826452490219,467.0,longyearbyen,12.75,5.0,54.0,0.0
470,102.91702619686652,31.616287597532022,470.0,tianpeng,8.75,54.02,79.0,12.0
473,97.63160874683206,11.043507494665448,473.0,ranong,10.76,82.1,100.0,64.0
476,167.3599172801969,-32.6806561814066,476.0,ahipara,16.46,71.25,75.0,92.0
478,87.15711038769678,33.94492250775697,478.0,lasa,6.93,54.14,93.0,20.0
479,35.61672482429981,67.87123529108132,479.0,lovozero,2.71,4.79,59.0,48.0
484,-85.97684641815663,37.9879968119328,484.0,radcliff,8.05,47.37,70.0,40.0
486,-38.35283206396679,-29.737160836456326,486.0,arraial do cabo,10.09,74.0,100.0,92.0
487,131.41329818282549,69.83648792570273,487.0,batagay-alyta,2.71,-24.78,34.0,24.0
490,48.91635472695489,5.006230532397851,490.0,hobyo,12.88,76.29,89.0,88.0
491,48.90114464825811,67.01200533663754,491.0,koslan,3.38,-3.36,76.0,8.0
493,106.17638571166157,49.15483338190077,493.0,suhbaatar,2.71,12.44,67.0,68.0
494,19.317463507367904,18.269308302722777,494.0,faya,2.71,59.94,82.0,0.0
499,-69.21308187539017,73.20699190664752,499.0,clyde river,13.87,-7.61,83.0,90.0
506,-11.128903869229589,41.0613753410951,506.0,areosa,24.16,50.9,87.0,75.0
507,26.7816374435034,20.783869164554645,507.0,marawi,1.03,73.82,84.0,20.0
508,105.60198594340432,14.571834133778836,508.0,champasak,2.71,68.42,80.0,0.0
509,116.57606693146988,35.45200467008151,509.0,jining,3.15,50.64,84.0,12.0
511,121.3504426375901,54.65443979764794,511.0,yerofey pavlovich,2.37,-4.98,51.0,0.0
513,-91.67460117575496,55.28816291302036,513.0,sioux lookout,3.36,31.3,36.0,40.0
520,-74.16685807402658,37.33378294703617,520.0,salisbury,5.82,43.11,100.0,0.0
530,28.135045840973646,48.60212786380083,530.0,mazurivka,4.47,35.6,75.0,0.0
533,32.68235669691563,40.30898755399704,533.0,cubuk,2.59,37.4,86.0,0.0
541,-72.96245190870451,32.69615785354368,541.0,havelock,17.22,60.87,58.0,1.0
542,-24.100473125278484,17.57533386748341,542.0,ribeira brava,3.36,59.0,72.0,20.0
547,18.269876859356174,-10.471539050166655,547.0,camacupa,8.97,62.7,57.0,20.0
553,-106.79774269798017,27.723071491329947,553.0,valentin gomez farias,6.93,80.6,13.0,40.0
557,-25.920329299817723,26.67914822240141,557.0,los llanos de aridane,6.93,64.4,68.0,0.0
566,147.90975285159516,53.50063332798871,566.0,vostok,2.93,12.44,70.0,68.0
567,-14.888203967935198,6.000967117349958,567.0,bonthe,4.61,77.06,91.0,0.0
568,117.38596776022348,16.974583545406887,568.0,catuday,11.99,76.02,94.0,0.0
570,-30.194018974010334,47.780749691785275,570.0,lagoa,19.46,57.2,76.0,75.0
572,8.876385717649185,-25.583022147312377,572.0,walvis bay,2.24,59.0,87.0,0.0
573,26.310266891569995,-30.69839441078374,573.0,burgersdorp,2.59,48.17,74.0,88.0
575,49.08125337969631,10.009869424674633,575.0,bosaso,3.71,73.5,100.0,8.0
580,104.16043639874317,2.3116114258451006,580.0,mersing,10.98,77.06,100.0,80.0
584,157.49379678439107,-53.08084094675015,584.0,tuatapere,13.44,63.11,85.0,12.0
585,-98.97233238350707,22.238903473833005,585.0,ciudad valles,5.95,88.44,42.0,0.0
586,-110.62835529151602,17.629142454614865,586.0,cabo san lucas,5.39,73.82,94.0,0.0
588,179.05388513148205,57.495365024126016,588.0,beringovskiy,10.31,-3.5,100.0,80.0
589,116.095463233325,63.837518215745035,589.0,almaznyy,3.6,26.3,90.0,76.0
591,-60.69461196295201,-42.37777174379429,591.0,viedma,3.15,51.14,100.0,32.0
593,-68.15037290602464,-12.553230447744767,593.0,puerto maldonado,3.36,77.0,94.0,75.0
597,177.5722858731836,-41.347414961190196,597.0,otane,3.71,59.51,90.0,12.0
601,-89.80127942327778,14.63407221311391,601.0,san pedro pinula,2.15,80.03,31.0,0.0
604,148.48087159134525,-7.835671695660224,604.0,popondetta,0.36,77.1,83.0,76.0
605,25.079515955845807,4.8235821710566,605.0,zemio,5.95,71.7,83.0,8.0
620,-55.262453524261474,-33.15629548711304,620.0,treinta y tres,0.92,71.75,73.0,0.0
625,99.71708250989059,42.00033606269241,625.0,jiuquan,3.27,18.87,57.0,0.0
627,-129.38421816915627,48.58589593691656,627.0,port hardy,6.93,50.0,61.0,20.0
630,128.43172323625134,9.35862754304415,630.0,bacolod,11.32,79.85,75.0,48.0
632,15.966138173267552,13.332458678157764,632.0,massakory,4.05,67.97,38.0,0.0
635,2.378530208001422,4.015639983975234,635.0,anloga,11.41,82.4,83.0,20.0
637,27.737688895734607,-60.969003631233136,637.0,kruisfontein,2.04,60.14,87.0,24.0
641,170.65727897429872,-16.509006705673798,641.0,vila,4.7,44.44,100.0,75.0
643,59.41828987071142,65.23628121795659,643.0,inta,0.58,-1.65,82.0,64.0
647,-54.40472179375638,32.61016421285758,647.0,saint george,4.7,42.8,87.0,0.0
649,116.1207734760061,-3.9873044985463224,649.0,martapura,1.48,77.55,100.0,68.0
650,53.52453470958733,-12.371293788133997,650.0,sambava,14.45,79.22,100.0,80.0
651,33.9224916964138,39.90922027491524,651.0,keskin,2.48,29.09,75.0,32.0
653,-66.22364030620149,68.14829190428975,653.0,pangnirtung,1.92,-3.5,63.0,0.0
657,124.56525581810382,-42.04139856522824,657.0,esperance,13.87,80.6,65.0,20.0
662,-86.16846841143496,34.73716947478218,662.0,scottsboro,2.59,55.15,100.0,90.0
666,66.62007793593386,12.10230879416872,666.0,kavaratti,9.19,84.08,100.0,0.0
678,143.78810471460753,37.758480992144996,678.0,kamaishi,4.7,28.4,79.0,20.0
683,-28.282912143707165,53.44348537945507,683.0,grindavik,20.8,27.68,63.0,0.0
689,176.24566877693763,-46.324891691816205,689.0,christchurch,14.99,64.4,63.0,0.0
691,-8.14447093338805,9.207306449325117,691.0,odienne,10.76,80.57,61.0,0.0
692,37.82936549110883,13.203614070787467,692.0,dabat,1.48,55.82,49.0,36.0
693,57.052744743116506,23.614056704323588,693.0,nizwa,3.83,54.02,73.0,0.0
696,-74.91461369881722,19.97144994849492,696.0,guantanamo,11.41,82.4,78.0,75.0
702,-117.81552180165261,32.51939239568607,702.0,coronado,12.75,89.6,59.0,40.0
705,41.41198376541405,-26.458860746637512,705.0,ampanihy,7.4,74.36,65.0,0.0
706,-84.77698713333922,8.37230428862928,706.0,quepos,20.8,79.77,57.0,20.0
716,146.72581742229124,-1.2398067036298386,716.0,lorengau,10.76,83.36,99.0,68.0
717,-168.11988415732833,70.46515951386235,717.0,lavrentiya,8.52,3.17,100.0,12.0
718,-49.48689645702717,-20.776805445798473,718.0,mirassol,1.48,73.32,96.0,76.0
720,174.54781169172247,68.37797512523971,720.0,komsomolskiy,3.38,-15.96,47.0,36.0
723,141.29177657743207,-6.8192074325014005,723.0,kiunga,2.37,75.35,95.0,88.0
724,-38.449245289130374,-44.18806536975886,724.0,rio grande,6.93,78.8,83.0,20.0
725,21.159651275027926,-7.709910463229846,725.0,lucapa,3.71,70.22,87.0,68.0
726,23.193873478244626,-36.95526892787272,726.0,plettenberg bay,4.61,67.47,100.0,48.0
727,28.8446837760371,51.07723098381314,727.0,ovruch,3.27,25.67,79.0,44.0
728,20.426666944980326,-33.3614535718149,728.0,swellendam,2.24,68.0,72.0,32.0
733,-89.55919214528998,47.528074302431094,733.0,thunder bay,6.93,32.0,70.0,20.0
735,104.49641861745818,38.30240103251572,735.0,baiyin,4.47,26.6,53.0,0.0
736,128.88068281077045,64.87172257943695,736.0,sangar,2.93,-19.07,54.0,0.0
